OrderID;CostomerID;ProductID;OrderDate;OrderQuantity;PaymentMethode;OrderStatus
38;16314;9361;2026-02-10 18:28:00.0000000;2;Kredi Kartı;Tamamlandı
39;17119;17923;2026-01-10 01:00:00.0000000;2;Kredi Kartı;Tamamlandı
40;2823;4346;2026-01-05 01:58:00.0000000;1;Kredi Kartı;Tamamlandı
41;20510;322;2026-01-31 21:24:00.0000000;1;Kredi Kartı;Tamamlandı
42;13273;5359;2026-01-22 08:02:00.0000000;2;Havale / EFT;Kargoda
43;8872;11075;2026-01-10 07:51:00.0000000;1;Banka Kartı;Tamamlandı
44;9002;4570;2026-01-01 19:58:00.0000000;2;Havale / EFT;Tamamlandı
45;5574;7064;2026-01-26 10:11:00.0000000;1;Kredi Kartı;Tamamlandı
46;19384;2444;2026-02-14 01:32:00.0000000;1;Kredi Kartı;Tamamlandı
47;7797;1481;2026-01-11 20:49:00.0000000;6;Kredi Kartı;Hazırlanıyor
48;16841;16701;2026-01-06 20:34:00.0000000;1;Kredi Kartı;Tamamlandı
49;20949;8907;2026-01-05 18:50:00.0000000;2;Kredi Kartı;Tamamlandı
50;12991;13836;2026-02-11 11:30:00.0000000;1;Kredi Kartı;Tamamlandı
51;12332;11780;2026-01-27 23:37:00.0000000;1;Kredi Kartı;Tamamlandı
52;12798;11944;2026-02-18 22:21:00.0000000;1;Kredi Kartı;Tamamlandı
53;14843;10877;2026-02-05 02:40:00.0000000;1;Kredi Kartı;Tamamlandı
54;5085;11918;2026-02-05 21:49:00.0000000;1;Banka Kartı;Tamamlandı
55;11896;4464;2026-01-22 00:19:00.0000000;1;Kredi Kartı;Tamamlandı
56;21332;6327;2026-02-05 12:52:00.0000000;4;Kredi Kartı;Tamamlandı
57;316;3719;2026-02-02 05:49:00.0000000;2;Kredi Kartı;Tamamlandı
58;17475;7920;2026-01-26 04:25:00.0000000;1;Kredi Kartı;Tamamlandı
59;18685;13095;2026-01-19 00:33:00.0000000;3;Havale / EFT;Kargoda
60;8325;899;2026-02-20 07:02:00.0000000;1;Kredi Kartı;Tamamlandı
61;8152;10187;2026-02-20 12:03:00.0000000;2;Kredi Kartı;Kargoda
62;5820;8268;2026-01-26 02:19:00.0000000;2;Havale / EFT;Tamamlandı
63;16373;9352;2026-01-24 19:25:00.0000000;2;Banka Kartı;Tamamlandı
64;5166;15591;2026-02-12 17:34:00.0000000;2;Kapıda Ödeme;Tamamlandı
65;15459;11938;2026-01-23 03:16:00.0000000;2;Banka Kartı;Tamamlandı
66;9769;12875;2026-01-29 04:13:00.0000000;1;Banka Kartı;Tamamlandı
67;427;7539;2026-02-20 03:21:00.0000000;2;Banka Kartı;Tamamlandı
68;16933;10638;2026-01-17 22:59:00.0000000;1;Banka Kartı;Kargoda
69;9803;5940;2026-02-10 12:15:00.0000000;2;Kredi Kartı;Tamamlandı
70;19125;2809;2026-01-10 04:20:00.0000000;1;Banka Kartı;Hazırlanıyor
71;15231;10495;2026-01-11 12:17:00.0000000;2;Kredi Kartı;Tamamlandı
72;14790;6320;2026-02-19 14:49:00.0000000;2;Havale / EFT;Tamamlandı
73;1050;6467;2026-02-01 08:36:00.0000000;1;Kredi Kartı;Tamamlandı
74;12616;17628;2026-01-02 16:59:00.0000000;1;Kredi Kartı;Tamamlandı
75;8582;3881;2026-01-15 14:16:00.0000000;1;Kredi Kartı;Tamamlandı
76;2831;6524;2026-01-14 22:17:00.0000000;2;Kapıda Ödeme;Tamamlandı
77;10918;3387;2026-01-14 11:28:00.0000000;2;Banka Kartı;Tamamlandı
78;18054;5436;2026-01-08 19:14:00.0000000;4;Kredi Kartı;Hazırlanıyor
79;11766;12279;2026-02-14 18:25:00.0000000;1;Havale / EFT;Hazırlanıyor
80;13733;6568;2026-01-22 02:03:00.0000000;1;Kredi Kartı;Tamamlandı
81;4265;13342;2026-01-09 03:48:00.0000000;1;Banka Kartı;İptal
82;21481;10004;2026-02-20 19:56:00.0000000;3;Banka Kartı;Tamamlandı
83;20420;13572;2026-01-29 04:43:00.0000000;1;Kredi Kartı;Tamamlandı
84;15030;5095;2026-01-26 09:00:00.0000000;2;Kredi Kartı;Tamamlandı
85;15196;5636;2026-02-14 22:45:00.0000000;1;Banka Kartı;Tamamlandı
86;18953;16886;2026-01-28 19:02:00.0000000;1;Kredi Kartı;Tamamlandı
87;14955;3909;2026-01-18 20:25:00.0000000;1;Banka Kartı;Tamamlandı
88;13467;5308;2026-01-19 06:01:00.0000000;2;Havale / EFT;Tamamlandı
89;4735;7331;2026-01-18 08:35:00.0000000;1;Banka Kartı;Hazırlanıyor
90;12925;10414;2026-02-01 10:43:00.0000000;1;Kredi Kartı;Tamamlandı
91;785;2645;2026-01-23 15:34:00.0000000;6;Kredi Kartı;Tamamlandı
92;3153;9532;2026-02-12 19:24:00.0000000;1;Havale / EFT;Tamamlandı
93;6942;1733;2026-01-15 18:09:00.0000000;5;Havale / EFT;Tamamlandı
94;2368;7714;2026-01-04 13:57:00.0000000;1;Kredi Kartı;Kargoda
95;14154;7256;2026-01-20 13:10:00.0000000;3;Kredi Kartı;Tamamlandı
96;21459;12899;2026-02-20 01:50:00.0000000;2;Kredi Kartı;Kargoda
97;1823;8262;2026-02-07 01:10:00.0000000;2;Kapıda Ödeme;Kargoda
98;5967;3217;2026-02-08 09:00:00.0000000;4;Kredi Kartı;Tamamlandı
99;3004;10530;2026-02-04 14:34:00.0000000;1;Havale / EFT;Tamamlandı
100;10905;13394;2026-02-09 01:32:00.0000000;1;Kredi Kartı;İptal
101;12985;2897;2026-01-30 04:03:00.0000000;4;Kredi Kartı;Kargoda
102;12017;7989;2026-02-03 02:27:00.0000000;3;Banka Kartı;Kargoda
103;6533;3012;2026-01-23 16:17:00.0000000;4;Banka Kartı;Tamamlandı
104;11069;9146;2026-02-03 20:50:00.0000000;1;Banka Kartı;Hazırlanıyor
105;12066;13690;2026-02-18 13:43:00.0000000;2;Banka Kartı;Tamamlandı
106;18682;718;2026-01-27 01:41:00.0000000;1;Kredi Kartı;Tamamlandı
107;4343;13786;2026-01-20 13:38:00.0000000;1;Kredi Kartı;Tamamlandı
108;12167;5473;2026-02-09 12:19:00.0000000;5;Kredi Kartı;Tamamlandı
109;10920;8510;2026-01-08 21:12:00.0000000;3;Kredi Kartı;Kargoda
110;16981;1099;2026-01-06 09:14:00.0000000;1;Kapıda Ödeme;Tamamlandı
111;17313;14361;2026-02-18 13:23:00.0000000;2;Banka Kartı;Tamamlandı
112;12009;17514;2026-01-18 06:31:00.0000000;1;Havale / EFT;Tamamlandı
113;16209;12471;2026-01-10 18:21:00.0000000;1;Banka Kartı;Tamamlandı
114;17860;10300;2026-02-11 03:56:00.0000000;1;Kredi Kartı;Tamamlandı
115;21773;13982;2026-02-08 01:33:00.0000000;1;Banka Kartı;Hazırlanıyor
116;19156;10400;2026-01-06 18:58:00.0000000;1;Havale / EFT;Tamamlandı
117;11832;2233;2026-02-06 20:45:00.0000000;1;Kapıda Ödeme;Tamamlandı
118;10008;4235;2026-01-28 18:13:00.0000000;6;Havale / EFT;Kargoda
119;13623;4916;2026-01-01 10:57:00.0000000;4;Kredi Kartı;Tamamlandı
120;15528;6807;2026-02-04 02:17:00.0000000;1;Banka Kartı;Tamamlandı
121;7888;5398;2026-02-04 10:51:00.0000000;1;Kredi Kartı;Tamamlandı
122;3091;9615;2026-02-04 16:25:00.0000000;3;Kredi Kartı;İptal
123;9033;12210;2026-01-28 15:07:00.0000000;1;Banka Kartı;Tamamlandı
124;15732;17701;2026-01-07 08:07:00.0000000;2;Banka Kartı;Tamamlandı
125;15050;17094;2026-02-02 19:09:00.0000000;3;Kredi Kartı;Tamamlandı
126;7559;9619;2026-02-19 05:18:00.0000000;1;Havale / EFT;Tamamlandı
127;19237;8326;2026-01-16 13:29:00.0000000;1;Banka Kartı;Kargoda
128;2714;9206;2026-02-07 05:10:00.0000000;1;Banka Kartı;Tamamlandı
129;2252;10739;2026-01-24 16:58:00.0000000;1;Kredi Kartı;Tamamlandı
130;4190;2092;2026-01-14 04:56:00.0000000;2;Kredi Kartı;Tamamlandı
131;21439;15625;2026-01-07 06:29:00.0000000;2;Kredi Kartı;Kargoda
132;13449;11135;2026-01-22 19:48:00.0000000;3;Havale / EFT;Tamamlandı
133;2061;14357;2026-01-09 04:19:00.0000000;1;Banka Kartı;Tamamlandı
134;20502;339;2026-01-01 17:30:00.0000000;1;Banka Kartı;Tamamlandı
135;5888;15470;2026-01-29 21:29:00.0000000;6;Kapıda Ödeme;Tamamlandı
136;335;8664;2026-01-27 07:32:00.0000000;1;Havale / EFT;Tamamlandı
137;13929;6337;2026-02-16 10:31:00.0000000;4;Kredi Kartı;Tamamlandı
138;8557;12192;2026-01-05 23:46:00.0000000;1;Kapıda Ödeme;Tamamlandı
139;19385;4760;2026-02-10 22:32:00.0000000;1;Kredi Kartı;Tamamlandı
140;9090;6374;2026-02-03 00:14:00.0000000;1;Havale / EFT;Tamamlandı
141;7552;7140;2026-01-22 12:30:00.0000000;1;Banka Kartı;Tamamlandı
142;17968;9251;2026-01-06 11:16:00.0000000;1;Havale / EFT;Tamamlandı
143;20279;3210;2026-01-04 13:45:00.0000000;2;Kredi Kartı;Tamamlandı
144;3457;5685;2026-02-02 01:38:00.0000000;1;Kredi Kartı;Kargoda
145;16102;6375;2026-02-19 15:40:00.0000000;2;Kredi Kartı;Kargoda
146;19598;7126;2026-02-18 20:48:00.0000000;1;Havale / EFT;Kargoda
147;13532;6019;2026-02-13 17:58:00.0000000;1;Kapıda Ödeme;Tamamlandı
148;12347;13178;2026-02-20 14:14:00.0000000;3;Kredi Kartı;İptal
149;7488;1101;2026-01-11 09:08:00.0000000;1;Kapıda Ödeme;Tamamlandı
150;3923;426;2026-02-10 16:13:00.0000000;3;Kredi Kartı;Hazırlanıyor
151;4422;15118;2026-02-13 17:56:00.0000000;5;Kredi Kartı;Tamamlandı
152;5969;9861;2026-01-04 18:11:00.0000000;1;Kredi Kartı;Tamamlandı
153;9190;588;2026-01-28 07:46:00.0000000;1;Kredi Kartı;Hazırlanıyor
154;8724;569;2026-02-09 03:47:00.0000000;1;Kredi Kartı;İptal
155;13098;10878;2026-01-14 03:59:00.0000000;1;Kredi Kartı;Tamamlandı
156;11409;17689;2026-02-12 12:49:00.0000000;3;Banka Kartı;Tamamlandı
157;16166;2651;2026-02-20 20:12:00.0000000;1;Kredi Kartı;Kargoda
158;7713;5098;2026-01-25 17:49:00.0000000;2;Banka Kartı;Tamamlandı
159;20681;9854;2026-02-07 15:32:00.0000000;2;Havale / EFT;İptal
160;15798;6643;2026-01-12 00:46:00.0000000;1;Banka Kartı;Tamamlandı
161;19496;3672;2026-01-23 13:03:00.0000000;2;Kredi Kartı;Tamamlandı
162;1968;5131;2026-02-05 10:51:00.0000000;1;Banka Kartı;Hazırlanıyor
163;2648;7715;2026-01-08 06:34:00.0000000;2;Kredi Kartı;Tamamlandı
164;5406;5354;2026-01-22 02:50:00.0000000;1;Kredi Kartı;Tamamlandı
165;19373;1601;2026-02-11 01:59:00.0000000;2;Kredi Kartı;Tamamlandı
166;851;6017;2026-01-06 01:16:00.0000000;3;Banka Kartı;Tamamlandı
167;9873;13393;2026-01-09 13:00:00.0000000;1;Banka Kartı;Tamamlandı
168;20075;10017;2026-01-14 19:08:00.0000000;2;Kredi Kartı;Kargoda
169;5927;17368;2026-01-28 14:49:00.0000000;3;Kredi Kartı;Tamamlandı
170;1960;2499;2026-02-06 12:24:00.0000000;4;Kredi Kartı;Hazırlanıyor
171;15038;1915;2026-02-09 17:53:00.0000000;1;Banka Kartı;İptal
172;20735;11793;2026-01-29 13:46:00.0000000;2;Havale / EFT;Tamamlandı
173;6193;16421;2026-02-04 23:08:00.0000000;3;Kredi Kartı;Tamamlandı
174;548;12509;2026-01-17 15:29:00.0000000;1;Kredi Kartı;Tamamlandı
175;13596;17107;2026-01-12 17:54:00.0000000;4;Kredi Kartı;Tamamlandı
176;18372;4611;2026-01-30 00:16:00.0000000;2;Havale / EFT;Kargoda
177;18294;1929;2026-01-16 13:33:00.0000000;1;Banka Kartı;Tamamlandı
178;19019;16685;2026-01-19 01:42:00.0000000;2;Banka Kartı;Tamamlandı
179;12694;1114;2026-02-17 01:43:00.0000000;1;Banka Kartı;Kargoda
180;14792;11421;2026-02-20 07:21:00.0000000;2;Kredi Kartı;Tamamlandı
181;17333;11575;2026-01-01 00:22:00.0000000;1;Havale / EFT;Tamamlandı
182;11664;17720;2026-02-06 11:07:00.0000000;2;Kredi Kartı;Kargoda
183;3163;6700;2026-02-14 00:39:00.0000000;3;Kredi Kartı;Kargoda
184;20742;13174;2026-01-07 10:09:00.0000000;1;Kapıda Ödeme;Tamamlandı
185;16418;2796;2026-01-03 17:15:00.0000000;1;Kapıda Ödeme;Tamamlandı
186;3627;15518;2026-02-17 08:49:00.0000000;1;Kredi Kartı;Tamamlandı
187;3859;10690;2026-01-12 20:54:00.0000000;2;Kredi Kartı;Tamamlandı
188;10727;13245;2026-02-12 01:01:00.0000000;2;Kapıda Ödeme;Tamamlandı
189;6636;10605;2026-01-14 14:46:00.0000000;1;Kredi Kartı;Tamamlandı
190;16908;10289;2026-01-23 17:04:00.0000000;5;Havale / EFT;Kargoda
191;15762;2577;2026-01-05 16:19:00.0000000;1;Kapıda Ödeme;Tamamlandı
192;14764;4564;2026-02-12 19:05:00.0000000;1;Kredi Kartı;Tamamlandı
193;17982;16383;2026-02-06 20:34:00.0000000;2;Banka Kartı;Kargoda
194;10215;3100;2026-02-07 21:23:00.0000000;2;Banka Kartı;Tamamlandı
195;9050;1526;2026-01-20 23:53:00.0000000;2;Banka Kartı;Tamamlandı
196;7393;8694;2026-01-01 03:40:00.0000000;1;Kredi Kartı;Tamamlandı
197;14302;17984;2026-02-03 10:51:00.0000000;1;Kapıda Ödeme;Tamamlandı
198;21498;6597;2026-01-17 05:00:00.0000000;4;Kredi Kartı;Tamamlandı
199;1609;12167;2026-01-20 00:23:00.0000000;1;Kredi Kartı;Tamamlandı
200;7901;17113;2026-01-09 22:44:00.0000000;1;Kredi Kartı;Kargoda
201;661;16552;2026-02-11 02:12:00.0000000;2;Banka Kartı;Tamamlandı
202;20297;3031;2026-01-02 23:34:00.0000000;3;Banka Kartı;Kargoda
203;17725;8600;2026-02-15 02:23:00.0000000;1;Kredi Kartı;Tamamlandı
204;15614;13088;2026-01-15 12:13:00.0000000;2;Kredi Kartı;Tamamlandı
205;14319;5690;2026-02-02 10:57:00.0000000;3;Banka Kartı;Tamamlandı
206;12301;4268;2026-02-20 15:33:00.0000000;3;Kredi Kartı;Kargoda
207;8294;8736;2026-01-27 07:42:00.0000000;2;Kredi Kartı;Tamamlandı
208;3327;264;2026-02-05 23:37:00.0000000;2;Kredi Kartı;Kargoda
209;21038;1470;2026-01-30 14:48:00.0000000;1;Kapıda Ödeme;Tamamlandı
210;10142;12879;2026-01-13 09:49:00.0000000;1;Kredi Kartı;Hazırlanıyor
211;17096;9965;2026-01-06 04:38:00.0000000;1;Banka Kartı;Tamamlandı
212;6058;1797;2026-01-14 15:34:00.0000000;1;Kredi Kartı;Tamamlandı
213;7453;1082;2026-01-17 23:22:00.0000000;2;Kapıda Ödeme;İptal
214;11333;14665;2026-01-25 16:57:00.0000000;4;Kredi Kartı;Tamamlandı
215;9092;17216;2026-01-24 00:03:00.0000000;2;Kredi Kartı;Tamamlandı
216;9481;14714;2026-02-01 12:37:00.0000000;1;Havale / EFT;Tamamlandı
217;21554;6471;2026-01-11 19:24:00.0000000;1;Kredi Kartı;Hazırlanıyor
218;16319;2035;2026-02-07 08:36:00.0000000;1;Havale / EFT;Tamamlandı
219;10539;14956;2026-02-13 23:51:00.0000000;1;Kredi Kartı;Tamamlandı
220;679;2199;2026-01-03 13:49:00.0000000;4;Kapıda Ödeme;Tamamlandı
221;19933;9492;2026-01-27 19:51:00.0000000;1;Kredi Kartı;Kargoda
222;7299;5260;2026-01-31 07:44:00.0000000;5;Banka Kartı;Hazırlanıyor
223;10114;10038;2026-01-23 03:26:00.0000000;1;Kredi Kartı;Tamamlandı
224;18268;5253;2026-01-01 18:30:00.0000000;1;Kredi Kartı;Tamamlandı
225;2526;11246;2026-02-13 13:06:00.0000000;1;Kredi Kartı;Kargoda
226;12394;12894;2026-01-21 02:50:00.0000000;1;Kredi Kartı;Tamamlandı
227;12868;10605;2026-02-07 11:08:00.0000000;1;Banka Kartı;Kargoda
228;10864;8002;2026-02-01 23:13:00.0000000;1;Kredi Kartı;Tamamlandı
229;13564;2263;2026-02-18 05:37:00.0000000;1;Kapıda Ödeme;Tamamlandı
230;5384;15595;2026-01-23 23:30:00.0000000;1;Banka Kartı;Tamamlandı
231;18698;7072;2026-01-26 20:51:00.0000000;1;Kredi Kartı;Hazırlanıyor
232;18972;11019;2026-01-27 03:22:00.0000000;2;Kredi Kartı;Hazırlanıyor
233;7161;1574;2026-02-14 02:31:00.0000000;1;Kredi Kartı;Tamamlandı
234;3356;4586;2026-01-11 07:19:00.0000000;1;Kredi Kartı;Tamamlandı
235;6814;15680;2026-01-10 22:20:00.0000000;1;Banka Kartı;Tamamlandı
236;1324;3405;2026-01-31 19:44:00.0000000;5;Banka Kartı;Tamamlandı
237;13069;7635;2026-01-12 13:00:00.0000000;2;Banka Kartı;Tamamlandı
238;10226;3728;2026-01-26 14:50:00.0000000;2;Banka Kartı;Tamamlandı
239;6788;9525;2026-01-07 01:25:00.0000000;1;Kredi Kartı;Hazırlanıyor
240;12560;12849;2026-01-30 07:28:00.0000000;1;Banka Kartı;Hazırlanıyor
241;2508;2879;2026-01-16 21:40:00.0000000;1;Kapıda Ödeme;Kargoda
242;3304;12950;2026-01-04 20:04:00.0000000;1;Kredi Kartı;Tamamlandı
243;19173;10262;2026-01-22 10:15:00.0000000;2;Kapıda Ödeme;Tamamlandı
244;18588;8031;2026-01-07 08:52:00.0000000;2;Kredi Kartı;Tamamlandı
245;2482;5339;2026-01-27 10:56:00.0000000;1;Kredi Kartı;Tamamlandı
246;3810;8642;2026-01-13 06:37:00.0000000;2;Banka Kartı;Tamamlandı
247;1821;5164;2026-02-17 16:32:00.0000000;1;Kredi Kartı;Tamamlandı
248;9701;13884;2026-02-14 13:15:00.0000000;1;Kapıda Ödeme;Tamamlandı
249;1704;3430;2026-02-11 08:50:00.0000000;2;Kredi Kartı;Kargoda
250;20923;12134;2026-02-18 08:04:00.0000000;3;Kredi Kartı;Hazırlanıyor
251;5365;7300;2026-01-06 13:16:00.0000000;2;Kredi Kartı;Tamamlandı
252;9651;5190;2026-01-16 17:12:00.0000000;1;Kredi Kartı;Kargoda
253;9540;12114;2026-02-03 22:26:00.0000000;2;Kredi Kartı;İptal
254;8816;13944;2026-01-01 18:13:00.0000000;1;Kapıda Ödeme;Tamamlandı
255;3151;10137;2026-02-17 23:59:00.0000000;4;Kredi Kartı;Tamamlandı
256;12187;8452;2026-01-20 04:28:00.0000000;2;Banka Kartı;Tamamlandı
257;1986;7491;2026-02-07 19:38:00.0000000;1;Havale / EFT;Kargoda
258;21507;5412;2026-01-24 22:28:00.0000000;1;Kredi Kartı;Kargoda
259;14581;10041;2026-02-01 22:10:00.0000000;2;Kredi Kartı;Kargoda
260;11808;5384;2026-02-17 17:58:00.0000000;1;Kredi Kartı;Tamamlandı
261;6742;3267;2026-01-05 02:54:00.0000000;2;Kredi Kartı;Tamamlandı
262;739;3027;2026-01-20 06:08:00.0000000;3;Banka Kartı;Tamamlandı
263;9953;11246;2026-02-13 10:24:00.0000000;1;Banka Kartı;Tamamlandı
264;2613;6587;2026-02-17 01:52:00.0000000;3;Kapıda Ödeme;Tamamlandı
265;11618;2048;2026-01-15 12:34:00.0000000;1;Havale / EFT;Tamamlandı
266;13594;13470;2026-02-12 11:45:00.0000000;3;Havale / EFT;Kargoda
267;18991;2531;2026-02-14 01:18:00.0000000;1;Kredi Kartı;Tamamlandı
268;18894;2522;2026-02-11 08:38:00.0000000;1;Kredi Kartı;Kargoda
269;114;14626;2026-02-01 23:35:00.0000000;1;Kredi Kartı;Kargoda
270;4017;581;2026-02-06 19:28:00.0000000;3;Banka Kartı;Tamamlandı
271;9115;15461;2026-02-17 04:38:00.0000000;1;Kredi Kartı;Hazırlanıyor
272;16927;15666;2026-01-06 17:50:00.0000000;2;Kapıda Ödeme;Tamamlandı
273;1380;16442;2026-01-08 19:20:00.0000000;1;Kredi Kartı;Tamamlandı
274;12850;557;2026-02-12 21:17:00.0000000;1;Kredi Kartı;Kargoda
275;8486;16676;2026-02-11 00:06:00.0000000;1;Havale / EFT;Tamamlandı
276;20787;16318;2026-01-19 22:23:00.0000000;1;Kredi Kartı;Tamamlandı
277;16336;9104;2026-01-18 02:08:00.0000000;2;Kredi Kartı;Kargoda
278;16533;13973;2026-01-26 04:58:00.0000000;2;Banka Kartı;Tamamlandı
279;7633;12826;2026-02-06 16:35:00.0000000;1;Kredi Kartı;Kargoda
280;9303;446;2026-02-19 22:24:00.0000000;1;Kapıda Ödeme;Kargoda
281;18938;12254;2026-01-07 12:12:00.0000000;1;Kredi Kartı;Tamamlandı
282;20860;4410;2026-02-10 22:37:00.0000000;1;Kredi Kartı;Tamamlandı
283;13029;9276;2026-02-05 17:19:00.0000000;2;Banka Kartı;Tamamlandı
284;6283;6056;2026-02-02 12:20:00.0000000;1;Havale / EFT;Tamamlandı
285;8767;13293;2026-01-22 18:41:00.0000000;4;Havale / EFT;Tamamlandı
286;12943;14259;2026-02-07 05:53:00.0000000;1;Banka Kartı;Tamamlandı
287;14004;11563;2026-01-11 00:24:00.0000000;1;Havale / EFT;Tamamlandı
288;13438;961;2026-02-18 04:32:00.0000000;1;Kredi Kartı;Tamamlandı
289;9783;7514;2026-01-10 20:56:00.0000000;2;Kredi Kartı;Tamamlandı
290;10709;17857;2026-01-07 14:46:00.0000000;1;Kredi Kartı;İptal
291;4988;13068;2026-01-15 11:17:00.0000000;2;Kredi Kartı;İptal
292;2221;13887;2026-02-02 22:50:00.0000000;1;Kredi Kartı;Hazırlanıyor
293;18354;14695;2026-01-09 06:23:00.0000000;3;Kapıda Ödeme;Tamamlandı
294;7282;16429;2026-01-10 14:47:00.0000000;3;Banka Kartı;Tamamlandı
295;6784;8922;2026-02-03 07:56:00.0000000;1;Kapıda Ödeme;Kargoda
296;18893;6159;2026-01-26 22:44:00.0000000;1;Kredi Kartı;Kargoda
297;14655;13653;2026-01-29 13:51:00.0000000;2;Kredi Kartı;Tamamlandı
298;9508;6107;2026-01-23 05:55:00.0000000;1;Kredi Kartı;Tamamlandı
299;9075;2794;2026-02-14 08:37:00.0000000;2;Kredi Kartı;Tamamlandı
300;5535;17332;2026-02-13 15:36:00.0000000;2;Kredi Kartı;Tamamlandı
301;12309;1827;2026-02-14 23:09:00.0000000;1;Kredi Kartı;Tamamlandı
302;8287;8887;2026-02-18 19:52:00.0000000;1;Banka Kartı;Tamamlandı
303;7713;2834;2026-02-14 09:18:00.0000000;1;Banka Kartı;Tamamlandı
304;17270;10929;2026-01-12 21:48:00.0000000;1;Banka Kartı;Tamamlandı
305;601;1860;2026-02-03 00:22:00.0000000;2;Kredi Kartı;Tamamlandı
306;5071;3026;2026-02-10 01:40:00.0000000;2;Banka Kartı;Kargoda
307;537;14402;2026-02-08 19:53:00.0000000;2;Kredi Kartı;İptal
308;11398;16742;2026-01-16 19:28:00.0000000;3;Havale / EFT;Tamamlandı
309;425;16419;2026-02-08 21:47:00.0000000;3;Kredi Kartı;Hazırlanıyor
310;1683;1708;2026-02-12 04:18:00.0000000;3;Banka Kartı;Tamamlandı
311;8614;6236;2026-01-01 18:12:00.0000000;3;Banka Kartı;Tamamlandı
312;7786;16897;2026-01-08 05:08:00.0000000;2;Banka Kartı;Tamamlandı
313;17792;11770;2026-02-01 13:59:00.0000000;1;Banka Kartı;Tamamlandı
314;11851;3778;2026-01-19 08:21:00.0000000;2;Havale / EFT;Tamamlandı
315;5410;11631;2026-01-05 22:06:00.0000000;1;Kredi Kartı;Kargoda
316;7459;228;2026-01-03 17:45:00.0000000;3;Banka Kartı;Tamamlandı
317;20982;7011;2026-01-15 03:36:00.0000000;2;Banka Kartı;Tamamlandı
318;6096;225;2026-01-24 23:38:00.0000000;2;Havale / EFT;Tamamlandı
319;13848;14544;2026-01-30 23:30:00.0000000;1;Banka Kartı;Kargoda
320;13778;13256;2026-01-19 00:17:00.0000000;4;Kredi Kartı;Tamamlandı
